,lat,lng,QUANTITY
ACCESS INDUSTRIES CHANNELVIEW Texas,29.7760599,-95.11465330000001,44000
ACCESS INDUSTRIES HOUSTON Texas,40.7628678,-73.9745762,3326112
AMERICAN REFINING GROUP INC BRADFORD Pennsylvania,41.9662859,-78.628391,76820
ANDEAVOR ANACORTES Washington,48.4963294,-122.5667318,1242608
ANDEAVOR CARSON California,33.8228302,-118.2430538,2904162
ANDEAVOR DICKINSON North Dakota,46.8781185,-102.7681903,115008
ANDEAVOR EL PASO Texas,31.7700948,-106.4130854,1294124
ANDEAVOR GALLUP New Mexico,35.4869223,-108.4275321,215004
ANDEAVOR KENAI Alaska,60.6865684,-151.3695127,547416
ANDEAVOR MANDAN North Dakota,46.85422759999999,-100.886846,592674
ANDEAVOR MARTINEZ California,38.0239143,-122.0634835,2172964
ANDEAVOR SAINT PAUL Minnesota,44.85280100000001,-92.99727899999999,1074184
ANDEAVOR SALT LAKE CITY Utah,40.7891907,-111.9037248,524036
ANDEAVOR WILMINGTON California,33.7919627,-118.2341233,1335690
ARCTIC SLOPE REGIONAL CORP NORTH POLE Alaska,64.7511111,-147.3494443,112900
ARCTIC SLOPE REGIONAL CORP VALDEZ Alaska,61.13083330000001,-146.3483334,290000
BLUE DOLPHIN ENERGY CO NIXON Texas,29.26155,-97.784657,72530
BP HUSKY REFINING LLC TOLEDO Ohio,41.674344,-83.45742899999999,1701906
BP PLC FERNDALE Washington,48.891652,-122.601045,2314242
BP PLC PRUDHOE BAY Alaska,70.41049579999999,-148.9721164,36000
BP PLC WHITING Indiana,41.6624674,-87.4832644,4779908
BUCKEYE PARTNERS LP CORPUS CHRISTI Texas,27.8181422,-97.5033539,315000
"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P. COTTON VALLEY Louisiana",32.7973978,-93.41480580000001,81444
"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P. GREAT FALLS Montana",47.522787,-111.2948736,348490
"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P. PRINCETON Louisiana",32.590209,-93.5137252,74579
"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P. SAN ANTONIO Texas",29.3451724,-98.4435005,148600
"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P. SHREVEPORT Louisiana",32.4703697,-93.7896859,528604
CARLYLE GROUP PHILADELPHIA Pennsylvania,38.8954257,-77.0265163,3368692
CHEVRON CORP EL SEGUNDO California,33.9158798,-118.4189849,3156888
CHEVRON CORP PASCAGOULA Mississippi,30.3440132,-88.4931477,4430508
CHEVRON CORP RICHMOND California,37.9313546,-122.3903556,3383038
CHEVRON CORP SALT LAKE CITY Utah,40.7500815,-111.8878452,540926
CHS INC LAUREL Montana,45.6610327,-108.7715074,672126
CHS INC MCPHERSON Kansas,38.3465788,-97.66951910000002,1184426
CONOCOPHILLIPS PRUDHOE BAY Alaska,70.4244444,-148.8708332,78000
CONTINENTAL REFINING CO LLC SOMERSET Kentucky,37.069406,-84.615089,38100
COUNTRYMARK COOP INC MOUNT VERNON Indiana,37.94182199999999,-87.9099509,299018
CVR ENERGY COFFEYVILLE Kansas,37.0443442,-95.60524869999999,1304302
CVR ENERGY WYNNEWOOD Oklahoma,34.6369394,-97.1680904,847320
DEER PARK REFINING LTD PTNRSHP DEER PARK Texas,29.7118601,-95.1270024,3445592
DELEK GROUP LTD BIG SPRING Texas,32.2503979,-101.4787355,720675
DELEK GROUP LTD EL DORADO Arkansas,33.2012816,-92.67326949999999,885534
DELEK GROUP LTD KROTZ SPRINGS Louisiana,30.5265689,-91.7462894,696840
DELEK GROUP LTD TYLER Texas,32.3564188,-95.27977299999999,733978
DELTA AIR LINES INC TRAINER Pennsylvania,39.8209616,-75.4036808,1925380
ERGON INC NEWELL West Virginia,40.61195379999999,-80.62852900000001,205108
ERGON INC VICKSBURG Mississippi,32.3900279,-90.89918440000001,282926
EXCEL PARALUBES WESTLAKE Louisiana,30.2421496,-93.25070989999999,188098
EXXON MOBIL CORP BATON ROUGE Louisiana,30.4769648,-91.16868,5680650
EXXON MOBIL CORP BAYTOWN Texas,29.7562313,-94.9914603,6741256
EXXON MOBIL CORP BEAUMONT Texas,30.0625154,-94.0796771,4078788
EXXON MOBIL CORP BILLINGS Montana,45.7845086,-108.6170632,700696
EXXON MOBIL CORP JOLIET Illinois,41.4144205,-88.1839657,2797356
FJ MANAGEMENT INC NORTH SALT LAKE Utah,40.7653477,-111.8878019,282708
FORELAND REFINING CORP ELY Nevada,39.5699721,-114.8092691,27700
GOODWAY REFINING LLC ATMORE Alabama,31.1810325,-87.43946110000002,23200
GREKA ENERGY SANTA MARIA California,34.9300364,-120.5123233,81000
HOLLYFRONTIER CORP ARTESIA New Mexico,32.8428566,-104.390795,1176424
HOLLYFRONTIER CORP CHEYENNE Wyoming,41.0979612,-104.7912193,541952
HOLLYFRONTIER CORP EL DORADO Kansas,37.80033390000001,-96.8667778,1682242
HOLLYFRONTIER CORP TULSA EAST Oklahoma,36.122492,-96.00012699999999,832750
HOLLYFRONTIER CORP TULSA WEST Oklahoma,36.122492,-96.00012699999999,677160
HOLLYFRONTIER CORP WOODS CROSS Utah,40.8850975,-111.9106497,407115
HUNT CONSLD INC SANDERSVILLE Mississippi,31.7865478,-89.0322762,85500
HUNT CONSLD INC TUSCALOOSA Alabama,33.2098407,-87.56917349999999,630410
HUSKY ENERGY INC LIMA Ohio,40.7220819,-84.11418789999999,1841804
HUSKY ENERGY INC SUPERIOR Wisconsin,46.6903595,-92.0709248,459623
ISLAND ENERGY SERVICES LLC HONOLULU Hawaii,21.3141103,-158.1136592,429406
KERN OIL & REFINING CO BAKERSFIELD California,35.2965833,-118.918389,178311
KINDER MORGAN ENERGY PTNRS LP GALENA PARK Texas,29.7245484,-95.2449774,468000
KOCH INDUSTRIES INC CORPUS CHRISTI Texas,27.827697,-97.533726,2960100
KOCH INDUSTRIES INC SAINT PAUL Minnesota,44.9866748,-93.33306449999999,3799476
MAGELLAN MIDSTREAM PARTNERS LP CORPUS CHRISTI Texas,27.806891,-97.4391094,235000
MARATHON PETROLEUM CORP CANTON Ohio,40.777309,-81.253346,934908
MARATHON PETROLEUM CORP CATLETTSBURG Kentucky,38.3735193,-82.5994387,2881796
MARATHON PETROLEUM CORP DETROIT Michigan,42.2891644,-83.1545671,1537220
MARATHON PETROLEUM CORP GALVESTON BAY Texas,29.3782639,-94.9296159,6145584
MARATHON PETROLEUM CORP GARYVILLE Louisiana,30.073235,-90.6038404,6451952
MARATHON PETROLEUM CORP ROBINSON Illinois,39.005895,-87.71296079999999,2506804
MARTIN RESOURCE MANAGEMENT GRP SMACKOVER Arkansas,33.3648455,-92.7248822,69806
PAR PETROLEUM INC KAPOLEI Hawaii,21.3050563,-158.0968078,699212
PAR PETROLEUM INC NEW CASTLE Wyoming,29.77744,-95.54393100000001,147600
PBF ENERGY CO LLC CHALMETTE Louisiana,29.9376238,-89.9683675,2232040
PBF ENERGY CO LLC DELAWARE CITY Delaware,39.5813895,-75.6348761,2125452
PBF ENERGY CO LLC PAULSBORO New Jersey,39.8363695,-75.2509316,1727178
PBF ENERGY CO LLC TOLEDO Ohio,41.6289966,-83.50501969999999,1789432
PBF ENERGY CO LLC TORRANCE California,33.8572596,-118.3371808,2038252
PDV AMERICA INC CORPUS CHRISTI Texas,27.8005828,-97.39638099999999,2145208
PDV AMERICA INC LAKE CHARLES Louisiana,30.2265949,-93.2173758,4881114
PDV AMERICA INC LEMONT Illinois,41.673642,-88.0017261,2043488
PETROBRAS AMERICA INC PASADENA Texas,29.7282015,-95.55537029999999,1052394
PETROMAX REFINING CO LLC HOUSTON Texas,29.7518003,-95.123621,132500
